miR,GSM1021014,GSM1021015,GSM1021016,GSM1021017,GSM1021019,GSM1021020,GSM1021021,GSM1021022,GSM1021023,GSM1021024,GSM1021026,GSM1021038,GSM1021039,GSM1021040,GSM1021042,GSM1021043,GSM1021044,GSM1021045,GSM1021046,GSM1021047,GSM1021048,GSM1021049,GSM1021051,GSM1021052,GSM1021055,GSM1021060,GSM1021061,GSM1021062,GSM1021063,GSM1021064,GSM1021065,GSM1021067,GSM1021069,GSM1021070,GSM1021071,GSM1021072,GSM1021073,GSM1021078,GSM1021080,GSM1021082,GSM1021083,GSM1021084,GSM1021086,GSM1021087
hsa-miR-802,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,0,0,0,0,0,2.33051656,0,0.310262706,0,0,0.000210173,0.000688884,0,2.302707719,0,0,0
hsa-miR-873,1.066427085,0.000469439,1.605955667,0,0,0.140842059,0.520798859,1.462322639,1.771581976,0,0,0.426133323,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0.373711909,0,1.760060413,0.043903626,0.764478754,0.160465189,1.846753956,0,0,0.811535269,0,0.677396164,0,0.000210173,0.000688884,0.320319124,0,0.093782359,0,0
hsa-miR-874,2.982328296,4.083653451,3.963153749,2.911289648,3.014832448,4.350156542,3.637377979,3.014832448,2.564041135,3.104581722,1.888982949,2.911289648,2.28768034,3.651968315,3.310252395,3.438166393,3.637377979,3.67090991,2.999607704,3.09097306,3.239660542,2.999607704,3.223639942,2.35704555,2.38360787,0.624458783,0,0.084393048,0,0,0,1.27734253,0,2.760741598,0.056329236,0,3.149864938,2.808936121,1.783400498,0,0,0,2.489484758,3.310252395
hsa-miR-875-3p,0,0.000469439,0,0,0,1.514700281,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,1.783400498,0,0.636201884,0,0,0,4.063364105,0,0,0,0.017425679,0,0,0.000210173,0.000688884,0.170354078,0,0.13583788,0,0
hsa-miR-875-5p,0.865520658,0.000469439,0,0,0,2.999607704,0,0,0.455207671,0,1.016775354,0,1.053419917,0,0,0,1.154593848,1.554635774,0.000210173,2.37E-05,0,0.001629967,0.000104359,1.042503778,2.037535075,3.09097306,3.923131844,0,1.335273767,1.821928449,0,0,0.29424436,0,0,2.504502275,0,0.000210173,0.000688884,1.042503778,0.811535269,2.146091542,1.955894582,0.211754859
hsa-miR-876-3p,1.696708487,1.388897642,0,0.657343196,0.747260573,0.499838262,0,0,0.727730631,0,0,1.439870071,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0.416604994,3.538780354,0.087422609,0,0.310262706,0,2.743730537,0,1.167470676,2.982328296,0,1.526599028,0.000688884,2.07651485,2.461688915,0.218291632,0.19636494,0
hsa-miR-876-5p,1.230321306,1.077964695,0.409673442,0,0,0,0,0,0,0,0,0.993479631,0,0.409673442,0,0,0,0.000469439,0.000210173,2.37E-05,0.935576818,0.001629967,0.000104359,0,1.955894582,0,4.696680295,2.159004299,0.077238145,3.812010791,0.773683463,0,2.476718533,1.514700281,0.037428776,0,0,0.000210173,1.47482388,0.755905171,1.118642239,0,0.106164405,0
hsa-miR-877,0,0.000469439,0.28351289,0,0,1.219215914,1.733143855,0,0,0,0,1.593000388,0,1.760060413,2.316414729,1.26367178,0.737558317,0.000469439,1.230321306,2.37E-05,2.18622139,0.001629967,0.000104359,1.888982949,0,1.821928449,2.938773065,3.473839342,0,4.420569428,4.189436769,1.427961028,0,1.118642239,0.876556614,0,1.62121968,1.579780641,0.000688884,0.024935898,0,0,0.536433711,0.636201884
hsa-miR-877*,2.695824537,1.696708487,1.077964695,0.553974371,0,0,2.009521591,0,1.105126696,2.646155917,2.343430149,1.673018732,1.902280955,1.661021607,1.415237303,1.415237303,1.579780641,1.994937893,2.230782238,2.430407623,0.865520658,1.873635642,2.316414729,0.727730631,0.935576818,0,0.332719806,0.865520658,0,0,0.13583788,2.07651485,2.38360787,2.343430149,1.733143855,2.534191149,2.023012579,0.000210173,2.743730537,2.578867505,1.180990354,0.116054058,1.118642239,2.146091542
hsa-miR-885-3p,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,0.71776041,2.743730537,0,0,0,0,0,0.066211948,0,0,2.18622139,0.000688884,1.661021607,0.463370514,4.802989424,2.548471325,0
hsa-miR-885-5p,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,1.241005105,0,0.001629967,0.000104359,0,0,0,0,0,0,0,0.140842059,0,0,0,0,0,0,0.000210173,0.000688884,0,0,0,0,0
